seed,scenario_id,policy,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,prb_share_pdb,g_pdb_mbps,background_mapping_policy,pdb_mapping_policy,edge_pdb_satisfaction_rate,center_agg_rate_bps,center_avg_rate_bps,prb_utilization,center_prb_share,edge_prb_share,pdb_arrivals_in_window,pdb_violation_rate,target_edge_completion_delay_ms,target_edge_queue_wait_ms,target_edge_service_time_ms,edge_backlog_bits
7,bg32_pdb4_d50_k4.1_seed00_L01,tail_append,32,4,50,4.1,L01,2.0,38.8,0.19984668012509155,0.300228832951945,0.2,0.3,0.19984668012509155,0.300228832951945,0.6003669947856352,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.7744297924297925,0.5184838031211274,0.48151619687887265,800.0,0.0,8.0,5.0,3.0,0.0
7,bg32_pdb4_d50_k4.1_seed00_L01,hopeless_tail_append,32,4,50,4.1,L01,2.0,38.8,0.19984668012509155,0.300228832951945,0.2,0.3,0.19984668012509155,0.300228832951945,0.6003669947856352,0.6559999999999999,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.7744297924297925,0.5184838031211274,0.48151619687887265,800.0,0.0,8.0,5.0,3.0,0.0
7,bg32_pdb8_d50_k2.0_seed00_L02,tail_append,32,8,50,2.0,L02,2.0,38.8,0.19984668012509155,0.2929061784897025,0.2,0.3,0.19984668012509155,0.2929061784897025,0.5944281669174035,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.9216978021978022,0.434803055623448,0.565196944376552,1600.0,0.0,5.0,3.0,2.0,0.0
7,bg32_pdb8_d50_k2.0_seed00_L02,hopeless_tail_append,32,8,50,2.0,L02,2.0,38.8,0.19984668012509155,0.2929061784897025,0.2,0.3,0.19984668012509155,0.2929061784897025,0.5944281669174035,0.32,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.9216978021978022,0.434803055623448,0.565196944376552,1600.0,0.0,5.0,3.0,2.0,0.0
7,bg32_pdb4_d50_k5.5_seed00_L03,tail_append,32,4,50,5.5,L03,2.0,38.8,0.19984668012509155,0.40274599542334094,0.2,0.4,0.19984668012509155,0.40274599542334094,0.6683552783923122,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.856423076923077,0.46808110229316496,0.531918897706835,800.0,0.0,9.0,5.0,4.0,0.0
7,bg32_pdb4_d50_k5.5_seed00_L03,hopeless_tail_append,32,4,50,5.5,L03,2.0,38.8,0.19984668012509155,0.40274599542334094,0.2,0.4,0.19984668012509155,0.40274599542334094,0.6683552783923122,0.88,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.856423076923077,0.46808110229316496,0.531918897706835,800.0,0.0,9.0,5.0,4.0,0.0
7,bg32_pdb8_d50_k2.7_seed00_L04,tail_append,32,8,50,2.7,L04,2.0,38.8,0.19984668012509155,0.39542334096109844,0.2,0.4,0.19984668012509155,0.39542334096109844,0.6642755841115079,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,0.978125,13260800.0,414400.0,0.9926459096459096,0.38651954483337164,0.6134804551666283,1600.0,0.021875,5.0,3.0,2.0,0.0
7,bg32_pdb8_d50_k2.7_seed00_L04,hopeless_tail_append,32,8,50,2.7,L04,2.0,38.8,0.19984668012509155,0.39542334096109844,0.2,0.4,0.19984668012509155,0.39542334096109844,0.6642755841115079,0.43200000000000005,candidate_domain_solve_period,candidate_domain_solve_packet,0.978125,13260800.0,414400.0,0.9926459096459096,0.38651954483337164,0.6134804551666283,1600.0,0.021875,5.0,3.0,2.0,0.0
7,bg32_pdb4_d50_k6.1_seed00_L05,tail_append,32,4,50,6.1,L05,2.0,38.8,0.19984668012509155,0.4466819221967963,0.2,0.45,0.19984668012509155,0.4466819221967963,0.6908927471926544,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.8930628815628816,0.4493624375101259,0.5506375624898742,800.0,0.0,9.0,5.0,4.0,0.0
7,bg32_pdb4_d50_k6.1_seed00_L05,hopeless_tail_append,32,4,50,6.1,L05,2.0,38.8,0.19984668012509155,0.4466819221967963,0.2,0.45,0.19984668012509155,0.4466819221967963,0.6908927471926544,0.976,candidate_domain_solve_period,candidate_domain_solve_packet,1.0,13260800.0,414400.0,0.8930628815628816,0.4493624375101259,0.5506375624898742,800.0,0.0,9.0,5.0,4.0,0.0
