background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,case_label,background_packet_kb,background_period_ms,rho_bg,rho_pdb,prb_share_pdb,g_pdb_mbps,target_rho_bg,target_rho_pdb,actual_rho_bg,actual_rho_pdb,background_mapping_policy,pdb_mapping_policy,threshold,baseline_feasible,proposed_feasible
32,4,50,0.4,L01,2.0,38.8,0.19984668012509155,0.029290617848970253,0.12782998712102267,0.064,0.2,0.03,0.19984668012509155,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,0.4,L01,2.0,64.6,0.12003175214943579,0.029290617848970253,0.19615693113686128,0.064,0.12,0.03,0.12003175214943579,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,0.4,L01,2.0,110.8,0.06998241145174686,0.029290617848970253,0.2950511136337276,0.064,0.07,0.03,0.06998241145174686,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,0.4,L01,2.0,258.5,0.02999632955069072,0.029290617848970253,0.49404833835546313,0.064,0.03,0.03,0.02999632955069072,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,2.5,L03,2.0,38.8,0.19984668012509155,0.18306636155606407,0.4780886040139107,0.4,0.2,0.18,0.19984668012509155,0.18306636155606407,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,2.5,L03,2.0,64.6,0.12003175214943579,0.18306636155606407,0.6039838365141967,0.4,0.12,0.18,0.12003175214943579,0.18306636155606407,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,2.5,L03,2.0,110.8,0.06998241145174686,0.18306636155606407,0.7234429923531512,0.4,0.07,0.18,0.06998241145174686,0.18306636155606407,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,2.5,L03,2.0,258.5,0.02999632955069072,0.18306636155606407,0.8592135986132781,0.4,0.03,0.18,0.02999632955069072,0.18306636155606407,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,4.1,L01,2.0,38.8,0.19984668012509155,0.300228832951945,0.6003669947856352,0.6559999999999999,0.2,0.3,0.19984668012509155,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,50,4.1,L01,2.0,64.6,0.12003175214943579,0.300228832951945,0.7143873196662491,0.6559999999999999,0.12,0.3,0.12003175214943579,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,4.1,L01,2.0,110.8,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,0.07,0.3,0.06998241145174686,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,4.1,L01,2.0,258.5,0.02999632955069072,0.300228832951945,0.9091640100246713,0.6559999999999999,0.03,0.3,0.02999632955069072,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,5.5,L03,2.0,38.8,0.19984668012509155,0.40274599542334094,0.6683552783923122,0.88,0.2,0.4,0.19984668012509155,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,50,5.5,L03,2.0,64.6,0.12003175214943579,0.40274599542334094,0.7703962100400497,0.88,0.12,0.4,0.12003175214943579,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,50,5.5,L03,2.0,110.8,0.06998241145174686,0.40274599542334094,0.851960638637401,0.88,0.07,0.4,0.06998241145174686,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,5.5,L03,2.0,258.5,0.02999632955069072,0.40274599542334094,0.9306831621970633,0.88,0.03,0.4,0.02999632955069072,0.40274599542334094,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,6.1,L05,2.0,38.8,0.19984668012509155,0.4466819221967963,0.6908927471926544,0.976,0.2,0.45,0.19984668012509155,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,50,6.1,L05,2.0,64.6,0.12003175214943579,0.4466819221967963,0.788196830987172,0.976,0.12,0.45,0.12003175214943579,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,50,6.1,L05,2.0,110.8,0.06998241145174686,0.4466819221967963,0.8645495597546863,0.976,0.07,0.45,0.06998241145174686,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,50,6.1,L05,2.0,258.5,0.02999632955069072,0.4466819221967963,0.9370721667272943,0.976,0.03,0.45,0.02999632955069072,0.4466819221967963,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,50,7.5,L05,2.0,38.8,0.19984668012509155,0.5491990846681922,0.7331983044050135,1.2,0.2,0.55,0.19984668012509155,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,50,7.5,L05,2.0,64.6,0.12003175214943579,0.5491990846681922,0.8206422275455522,1.2,0.12,0.55,0.12003175214943579,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,50,7.5,L05,2.0,110.8,0.06998241145174686,0.5491990846681922,0.8869759321131411,1.2,0.07,0.55,0.06998241145174686,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,50,7.5,L05,2.0,258.5,0.02999632955069072,0.5491990846681922,0.9482103469497518,1.2,0.03,0.55,0.02999632955069072,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,100,0.8,L01,2.0,38.8,0.19984668012509155,0.029290617848970253,0.12782998712102267,0.064,0.2,0.03,0.19984668012509155,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,0.8,L01,2.0,64.6,0.12003175214943579,0.029290617848970253,0.19615693113686128,0.064,0.12,0.03,0.12003175214943579,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,0.8,L01,2.0,110.8,0.06998241145174686,0.029290617848970253,0.2950511136337276,0.064,0.07,0.03,0.06998241145174686,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,0.8,L01,2.0,258.5,0.02999632955069072,0.029290617848970253,0.49404833835546313,0.064,0.03,0.03,0.02999632955069072,0.029290617848970253,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,4.9,L03,2.0,38.8,0.19984668012509155,0.17940503432494279,0.4730500284886096,0.392,0.2,0.18,0.19984668012509155,0.17940503432494279,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,4.9,L03,2.0,64.6,0.12003175214943579,0.17940503432494279,0.5991415965863421,0.392,0.12,0.18,0.12003175214943579,0.17940503432494279,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,4.9,L03,2.0,110.8,0.06998241145174686,0.17940503432494279,0.7193827811428343,0.392,0.07,0.18,0.06998241145174686,0.17940503432494279,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,4.9,L03,2.0,258.5,0.02999632955069072,0.17940503432494279,0.8567519857773898,0.392,0.03,0.18,0.02999632955069072,0.17940503432494279,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,8.2,L01,2.0,38.8,0.19984668012509155,0.300228832951945,0.6003669947856352,0.6559999999999999,0.2,0.3,0.19984668012509155,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,100,8.2,L01,2.0,64.6,0.12003175214943579,0.300228832951945,0.7143873196662491,0.6559999999999999,0.12,0.3,0.12003175214943579,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,8.2,L01,2.0,110.8,0.06998241145174686,0.300228832951945,0.8109662726088473,0.6559999999999999,0.07,0.3,0.06998241145174686,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,8.2,L01,2.0,258.5,0.02999632955069072,0.300228832951945,0.9091640100246713,0.6559999999999999,0.03,0.3,0.02999632955069072,0.300228832951945,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,10.9,L03,2.0,38.8,0.19984668012509155,0.39908466819221966,0.6663279010414835,0.872,0.2,0.4,0.19984668012509155,0.39908466819221966,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,100,10.9,L03,2.0,64.6,0.12003175214943579,0.39908466819221966,0.7687768148993687,0.872,0.12,0.4,0.12003175214943579,0.39908466819221966,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,100,10.9,L03,2.0,110.8,0.06998241145174686,0.39908466819221966,0.8508051097833059,0.872,0.07,0.4,0.06998241145174686,0.39908466819221966,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,10.9,L03,2.0,258.5,0.02999632955069072,0.39908466819221966,0.9300916850000814,0.872,0.03,0.4,0.02999632955069072,0.39908466819221966,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,12.3,L05,2.0,38.8,0.19984668012509155,0.45034324942791765,0.6926333813529201,0.9840000000000001,0.2,0.45,0.19984668012509155,0.45034324942791765,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,100,12.3,L05,2.0,64.6,0.12003175214943579,0.45034324942791765,0.7895564289853308,0.9840000000000001,0.12,0.45,0.12003175214943579,0.45034324942791765,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,100,12.3,L05,2.0,110.8,0.06998241145174686,0.45034324942791765,0.8655026712819923,0.9840000000000001,0.07,0.45,0.06998241145174686,0.45034324942791765,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,100,12.3,L05,2.0,258.5,0.02999632955069072,0.45034324942791765,0.9375518261175255,0.9840000000000001,0.03,0.45,0.02999632955069072,0.45034324942791765,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,100,15.0,L05,2.0,38.8,0.19984668012509155,0.5491990846681922,0.7331983044050135,1.2,0.2,0.55,0.19984668012509155,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,100,15.0,L05,2.0,64.6,0.12003175214943579,0.5491990846681922,0.8206422275455522,1.2,0.12,0.55,0.12003175214943579,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,100,15.0,L05,2.0,110.8,0.06998241145174686,0.5491990846681922,0.8869759321131411,1.2,0.07,0.55,0.06998241145174686,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,100,15.0,L05,2.0,258.5,0.02999632955069072,0.5491990846681922,0.9482103469497518,1.2,0.03,0.55,0.02999632955069072,0.5491990846681922,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,0,0
32,4,300,2.5,L01,2.0,38.8,0.19984668012509155,0.03051106025934401,0.13245077073783249,0.06666666666666667,0.2,0.03,0.19984668012509155,0.03051106025934401,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,300,2.5,L01,2.0,64.6,0.12003175214943579,0.03051106025934401,0.202673643272288,0.06666666666666667,0.12,0.03,0.12003175214943579,0.03051106025934401,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,300,2.5,L01,2.0,110.8,0.06998241145174686,0.03051106025934401,0.3036123614781704,0.06666666666666667,0.07,0.03,0.06998241145174686,0.03051106025934401,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
32,4,300,2.5,L01,2.0,258.5,0.02999632955069072,0.03051106025934401,0.5042534532581004,0.06666666666666667,0.03,0.03,0.02999632955069072,0.03051106025934401,candidate_domain_solve_period,candidate_domain_solve_packet,0.95,1,1
