seed,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,baseline_edge_pdb_satisfaction_rate,proposed_edge_pdb_satisfaction_rate,delta_pdb_satisfaction_rate,center_throughput_retention,delta_prb_utilization,delta_center_prb_share,delta_edge_prb_share
7,48,4,100,50,0.0,0.0,0.0,0.132398141755,0.0,-0.21345787545787542,0.21345787545787553
7,48,4,100,150,0.0,0.0,0.0,0.134576420248,0.0,-0.20844993894993893,0.2084499389499389
7,48,4,100,300,0.0,0.0,0.0,0.13492423179,0.0,-0.20782478632478632,0.2078247863247863
7,48,4,300,50,0.007575757575757576,0.007575757575757576,0.0,1.016597178753,1.2210012210189802e-06,-0.011283282807898254,0.011283282807898198
7,48,4,300,150,0.0,0.0,0.0,0.158281406126,0.0,-0.2782271062271062,0.2782271062271062
7,48,4,300,300,0.0,0.0,0.0,0.189106732684,0.0,-0.20594871794871794,0.20594871794871794
7,48,4,500,50,0.1875,0.425,0.2375,1.003652371178,7.753357753359502e-05,0.0021919794463699516,-0.0021919794463698405
7,48,4,500,150,0.0,0.0,0.0,0.342545848968,-1.4652014652005718e-05,-0.24791564996922585,0.24791564996922577
7,48,4,500,300,0.0,0.0,0.0,0.291562881784,0.0,-0.20646581196581193,0.20646581196581204
7,48,10,100,50,0.0,0.0,0.0,0.405351538393,0.0,-0.058007326007326006,0.058007326007326054
7,48,10,100,150,0.0,0.0,0.0,0.409164387361,0.0,-0.057020757020757026,0.05702075702075704
7,48,10,100,300,0.0,0.0,0.0,0.40820557383,0.0,-0.05693711843711844,0.05693711843711846
7,48,10,300,50,0.0,0.0,0.0,0.24643413363,0.0,-0.13095115995115994,0.1309511599511599
7,48,10,300,150,0.0,0.0,0.0,0.241047717755,0.0,-0.1266141636141636,0.12661416361416356
7,48,10,300,300,0.0,0.0,0.0,0.242244167034,0.0,-0.12589255189255188,0.12589255189255188
7,48,10,500,50,0.0,0.005,0.005,0.615467326427,0.0,-0.05139377289377289,0.05139377289377289
7,48,10,500,150,0.0,0.0,0.0,0.941504345879,0.0,-0.0037924297924297884,0.0037924297924298855
7,48,10,500,300,0.0,0.0,0.0,0.932309854789,0.0,-0.00448595848595848,0.004485958485958452
7,48,16,100,50,0.0,0.0,0.0,0.558929230916,0.0,-0.013829059829059825,0.013829059829059909
7,48,16,100,150,0.0,0.0,0.0,0.170001176194,0.0,-0.028853479853479854,0.028853479853479858
7,48,16,100,300,0.0,0.0,0.0,0.175053902148,0.0,-0.028316239316239316,0.028316239316239278
7,48,16,300,50,0.0,0.0,0.0,0.800790700692,1.831501831506266e-05,-0.007768393797817415,0.007768393797817352
7,48,16,300,150,0.0,0.0,0.0,0.761888651063,1.831501831506266e-05,-0.010625493717867203,0.010625493717867251
7,48,16,300,300,0.0,0.0,0.0,0.423588782625,1.831501831506266e-05,-0.030414260506633994,0.030414260506633983
7,48,16,500,50,0.0,0.0,0.0,0.622050950192,1.8315018314951637e-05,-0.021064808525760648,0.021064808525760648
7,48,16,500,150,0.0,0.0,0.0,0.481938794507,8.485958485959788e-05,-0.0377639654258643,0.037763965425864354
7,48,16,500,300,0.0,0.0,0.0,0.855958737927,3.5409035408995315e-05,-0.009958648212036292,0.009958648212036292
8,48,4,100,50,0.0,0.0,0.0,0.185967422399,0.0,-0.17195909645909646,0.17195909645909646
8,48,4,100,150,0.0,0.0,0.0,0.224007373121,0.0,-0.07276190476190478,0.0727619047619047
8,48,4,100,300,0.0,0.0,0.0,0.224600686715,0.0,-0.0723992673992674,0.07239926739926739
8,48,4,300,50,0.014814814814814815,0.2518518518518518,0.237037037037,1.037990859248,0.0,-0.023368742368742368,0.023368742368742423
8,48,4,300,150,0.0,0.007407407407407408,0.007407407407,0.249682842544,0.0,-0.13583455433455435,0.13583455433455427
8,48,4,300,300,0.0,0.0,0.0,0.245156822483,0.0,-0.13537118437118437,0.13537118437118434
8,48,4,500,50,0.1125,0.2125,0.1,1.001406206388,0.0,-0.012219169719169698,0.012219169719169753
8,48,4,500,150,0.0,0.0,0.0,0.26839804379,0.0,-0.19952930402930402,0.19952930402930402
8,48,4,500,300,0.0,0.0,0.0,0.266382780443,0.0,-0.14934188034188034,0.14934188034188034
8,48,10,100,50,0.0,0.0,0.0,0.932693591713,0.0,-0.0030146520146520153,0.0030146520146520084
8,48,10,100,150,0.0,0.0,0.0,0.922447366007,0.0,-0.0025561660561660565,0.0025561660561660426
8,48,10,100,300,0.0,0.0,0.0,0.926370248104,0.0,-0.002595238095238095,0.002595238095238095
8,48,10,300,50,0.0029940119760479044,0.0029940119760479044,0.0,0.651877579483,0.0,-0.022092185592185593,0.02209218559218551
8,48,10,300,150,0.0,0.0,0.0,0.90836768394,0.0,-0.004050671550671549,0.004050671550671514
8,48,10,300,300,0.0,0.0,0.0,0.928746837193,0.0,-0.0035818070818070813,0.003581807081806998
8,48,10,500,50,0.005,0.005,0.0,0.395595807893,0.0,-0.12393894993894994,0.12393894993894994
8,48,10,500,150,0.0,0.0,0.0,0.881339879081,0.0,-0.009680097680097685,0.009680097680097699
8,48,10,500,300,0.0,0.0,0.0,0.823336485246,0.0,-0.01383028083028083,0.013830280830280817
8,48,16,100,50,0.0,0.0,0.0,0.812875042344,0.0,-0.0062197802197802195,0.006219780219780202
8,48,16,100,150,0.0,0.0,0.0,0.16690700454,0.0,-0.030266178266178268,0.03026617826617828
8,48,16,100,300,0.0,0.0,0.0,0.158891943586,0.0,-0.030645299145299145,0.03064529914529912
8,48,16,300,50,0.001869158878504673,0.001869158878504673,0.0,0.880092998025,0.0,-0.0056520146520146475,0.005652014652014703
8,48,16,300,150,0.0,0.0,0.0,0.380007416445,0.0,-0.032665445665445665,0.032665445665445714
8,48,16,300,300,0.0,0.0,0.0,0.8465920338,0.0,-0.00855006105006105,0.008550061050061064
8,48,16,500,50,0.003125,0.003125,0.0,0.894613822878,0.0,-0.005843711843711838,0.005843711843711907
8,48,16,500,150,0.0,0.0,0.0,0.847384561171,0.0,-0.011719169719169711,0.011719169719169753
8,48,16,500,300,0.0,0.0,0.0,0.811000378816,0.0,-0.0141037851037851,0.014103785103785071
9,48,4,100,50,0.0,0.0,0.0,0.106408857344,3.0525030525474506e-06,-0.2450753417133855,0.2450753417133854
9,48,4,100,150,0.0,0.0,0.0,0.161351093052,0.0,-0.14787545787545786,0.14787545787545797
9,48,4,100,300,0.0,0.0,0.0,0.16354610763,0.0,-0.1447948717948718,0.14479487179487172
9,48,4,300,50,0.007462686567164179,0.04477611940298507,0.037313432836,0.504472102919,0.0002936507936508459,-0.15821298251335303,0.15821298251335303
9,48,4,300,150,0.0,0.0,0.0,0.174854273287,0.00023199023199027557,-0.1568454270252734,0.15684542702527338
9,48,4,300,300,0.0,0.0,0.0,0.91245232666,3.6630036630569407e-06,-0.005180304790393109,0.005180304790393109
9,48,4,500,50,0.1375,0.2125,0.075,1.065428879532,-6.715506715493369e-06,0.003940617225448473,-0.003940617225448417
9,48,4,500,150,0.0,0.0,0.0,0.329878815567,3.0525030525474506e-06,-0.17098244516348815,0.17098244516348815
