background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,threshold,baseline_feasible,proposed_feasible
24,4,100,50,0.9,0,0
24,4,100,150,0.9,0,0
24,4,100,300,0.9,0,0
24,4,300,50,0.9,0,0
24,4,300,150,0.9,0,0
24,4,300,300,0.9,0,0
24,4,500,50,0.9,0,0
24,4,500,150,0.9,0,0
24,4,500,300,0.9,0,0
24,10,100,50,0.9,0,0
24,10,100,150,0.9,0,0
24,10,100,300,0.9,0,0
24,10,300,50,0.9,0,0
24,10,300,150,0.9,0,0
24,10,300,300,0.9,0,0
24,10,500,50,0.9,0,0
24,10,500,150,0.9,0,0
24,10,500,300,0.9,0,0
24,16,100,50,0.9,0,0
24,16,100,150,0.9,0,0
24,16,100,300,0.9,0,0
24,16,300,50,0.9,0,0
24,16,300,150,0.9,0,0
24,16,300,300,0.9,0,0
24,16,500,50,0.9,0,0
24,16,500,150,0.9,0,0
24,16,500,300,0.9,0,0
36,4,100,50,0.9,0,0
36,4,100,150,0.9,0,0
36,4,100,300,0.9,0,0
36,4,300,50,0.9,0,0
36,4,300,150,0.9,0,0
36,4,300,300,0.9,0,0
36,4,500,50,0.9,0,0
36,4,500,150,0.9,0,0
36,4,500,300,0.9,0,0
36,10,100,50,0.9,0,0
36,10,100,150,0.9,0,0
36,10,100,300,0.9,0,0
36,10,300,50,0.9,0,0
36,10,300,150,0.9,0,0
36,10,300,300,0.9,0,0
36,10,500,50,0.9,0,0
36,10,500,150,0.9,0,0
36,10,500,300,0.9,0,0
36,16,100,50,0.9,0,0
36,16,100,150,0.9,0,0
36,16,100,300,0.9,0,0
36,16,300,50,0.9,0,0
36,16,300,150,0.9,0,0
36,16,300,300,0.9,0,0
36,16,500,50,0.9,0,0
36,16,500,150,0.9,0,0
36,16,500,300,0.9,0,0
48,4,100,50,0.9,0,0
48,4,100,150,0.9,0,0
48,4,100,300,0.9,0,0
48,4,300,50,0.9,0,0
48,4,300,150,0.9,0,0
48,4,300,300,0.9,0,0
48,4,500,50,0.9,0,0
48,4,500,150,0.9,0,0
48,4,500,300,0.9,0,0
48,10,100,50,0.9,0,0
48,10,100,150,0.9,0,0
48,10,100,300,0.9,0,0
48,10,300,50,0.9,0,0
48,10,300,150,0.9,0,0
48,10,300,300,0.9,0,0
48,10,500,50,0.9,0,0
48,10,500,150,0.9,0,0
48,10,500,300,0.9,0,0
48,16,100,50,0.9,0,0
48,16,100,150,0.9,0,0
48,16,100,300,0.9,0,0
48,16,300,50,0.9,0,0
48,16,300,150,0.9,0,0
48,16,300,300,0.9,0,0
48,16,500,50,0.9,0,0
48,16,500,150,0.9,0,0
48,16,500,300,0.9,0,0
