dimension,background_user_count,pdb_user_count,pdb_ms,pdb_packet_kb,threshold,baseline_max_pdb_user_count,proposed_max_pdb_user_count,capacity_gain_pdb_users,baseline_max_background_user_count,proposed_max_background_user_count,capacity_gain_background_users
fixed_background_user_count,24,,100,50,0.95,0,0,0,,,
fixed_background_user_count,24,,100,150,0.95,0,0,0,,,
fixed_background_user_count,24,,100,300,0.95,0,0,0,,,
fixed_background_user_count,24,,300,50,0.95,0,0,0,,,
fixed_background_user_count,24,,300,150,0.95,0,0,0,,,
fixed_background_user_count,24,,300,300,0.95,0,0,0,,,
fixed_background_user_count,24,,500,50,0.95,0,0,0,,,
fixed_background_user_count,24,,500,150,0.95,0,0,0,,,
fixed_background_user_count,24,,500,300,0.95,0,0,0,,,
fixed_background_user_count,36,,100,50,0.95,0,0,0,,,
fixed_background_user_count,36,,100,150,0.95,0,0,0,,,
fixed_background_user_count,36,,100,300,0.95,0,0,0,,,
fixed_background_user_count,36,,300,50,0.95,0,0,0,,,
fixed_background_user_count,36,,300,150,0.95,0,0,0,,,
fixed_background_user_count,36,,300,300,0.95,0,0,0,,,
fixed_background_user_count,36,,500,50,0.95,0,0,0,,,
fixed_background_user_count,36,,500,150,0.95,0,0,0,,,
fixed_background_user_count,36,,500,300,0.95,0,0,0,,,
fixed_background_user_count,48,,100,50,0.95,0,0,0,,,
fixed_background_user_count,48,,100,150,0.95,0,0,0,,,
fixed_background_user_count,48,,100,300,0.95,0,0,0,,,
fixed_background_user_count,48,,300,50,0.95,0,0,0,,,
fixed_background_user_count,48,,300,150,0.95,0,0,0,,,
fixed_background_user_count,48,,300,300,0.95,0,0,0,,,
fixed_background_user_count,48,,500,50,0.95,0,0,0,,,
fixed_background_user_count,48,,500,150,0.95,0,0,0,,,
fixed_background_user_count,48,,500,300,0.95,0,0,0,,,
fixed_pdb_user_count,,4,100,50,0.95,,,,0,0,0
fixed_pdb_user_count,,4,100,150,0.95,,,,0,0,0
fixed_pdb_user_count,,4,100,300,0.95,,,,0,0,0
fixed_pdb_user_count,,4,300,50,0.95,,,,0,0,0
fixed_pdb_user_count,,4,300,150,0.95,,,,0,0,0
fixed_pdb_user_count,,4,300,300,0.95,,,,0,0,0
fixed_pdb_user_count,,4,500,50,0.95,,,,0,0,0
fixed_pdb_user_count,,4,500,150,0.95,,,,0,0,0
fixed_pdb_user_count,,4,500,300,0.95,,,,0,0,0
fixed_pdb_user_count,,10,100,50,0.95,,,,0,0,0
fixed_pdb_user_count,,10,100,150,0.95,,,,0,0,0
fixed_pdb_user_count,,10,100,300,0.95,,,,0,0,0
fixed_pdb_user_count,,10,300,50,0.95,,,,0,0,0
fixed_pdb_user_count,,10,300,150,0.95,,,,0,0,0
fixed_pdb_user_count,,10,300,300,0.95,,,,0,0,0
fixed_pdb_user_count,,10,500,50,0.95,,,,0,0,0
fixed_pdb_user_count,,10,500,150,0.95,,,,0,0,0
fixed_pdb_user_count,,10,500,300,0.95,,,,0,0,0
fixed_pdb_user_count,,16,100,50,0.95,,,,0,0,0
fixed_pdb_user_count,,16,100,150,0.95,,,,0,0,0
fixed_pdb_user_count,,16,100,300,0.95,,,,0,0,0
fixed_pdb_user_count,,16,300,50,0.95,,,,0,0,0
fixed_pdb_user_count,,16,300,150,0.95,,,,0,0,0
fixed_pdb_user_count,,16,300,300,0.95,,,,0,0,0
fixed_pdb_user_count,,16,500,50,0.95,,,,0,0,0
fixed_pdb_user_count,,16,500,150,0.95,,,,0,0,0
fixed_pdb_user_count,,16,500,300,0.95,,,,0,0,0
